[Write] Wrote value 0x1 to address 0x7ffdbfdeff40
[Read] Read value 0x1 from address 0x7ffdbfdeff40
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x1 from address 0x7ffdbfdeff40
[Read] Read value 0x1 from address 0x55ed4869e0e4
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x1 from address 0x7ffdbfdeff40
[Write] Wrote value 0x2 to address 0x55ed4869e0b4
[Read] Read value 0x1 from address 0x7ffdbfdeff40
[Write] Wrote value 0x2 to address 0x7ffdbfdeff40
[Read] Read value 0x2 from address 0x7ffdbfdeff40
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x2 from address 0x7ffdbfdeff40
[Read] Read value 0x1 from address 0x55ed4869e0e8
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x2 from address 0x7ffdbfdeff40
[Write] Wrote value 0x2 to address 0x55ed4869e0b8
[Read] Read value 0x2 from address 0x7ffdbfdeff40
[Write] Wrote value 0x3 to address 0x7ffdbfdeff40
[Read] Read value 0x3 from address 0x7ffdbfdeff40
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x3 from address 0x7ffdbfdeff40
[Read] Read value 0x1 from address 0x55ed4869e0ec
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x3 from address 0x7ffdbfdeff40
[Write] Wrote value 0x2 to address 0x55ed4869e0bc
[Read] Read value 0x3 from address 0x7ffdbfdeff40
[Write] Wrote value 0x4 to address 0x7ffdbfdeff40
[Read] Read value 0x4 from address 0x7ffdbfdeff40
[Read] Read value 0x55ed4869e0e0 from address 0x7ffdbfdeff48
[Read] Read value 0x4 from address 0x7ffdbfdeff40
[Read] Read value 0x1 from address 0x55ed4869e0f0
[Read] Read value 0x55ed4869e0b0 from address 0x7ffdbfdeff50
[Read] Read value 0x4 from address 0x7ffdbfdeff40
